title,country,jurisdiction,year,court,offense_type,age_group,facts,summary,outcome,source_url
In re C-0715 (Child),United Kingdom,England,2023,Youth Court Manchester,weapon possession,under 14,Security search at a neighbor's garage revealed a metal pipe in 14-year-old's bag. First offense.,Juvenile weapon possession case with no prior record in England.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0160,United States,Massachusetts,2021,Suffolk Juvenile Court,cybercrime,under 14,13-year-old accessed school network without authorization at school. No financial gain. One prior warning only.,cybercrime incident at school; minor in under 14 age group.,Anger management; probation 9 months.,https://www.courtlistener.com/
State v. Minor-0044,United States,Massachusetts,2020,Suffolk Juvenile Court,robbery,15-17,Strong-arm robbery allegation: 16-year-old and a public park. First contact with juvenile court.,robbery incident at public park; minor in 15-17 age group.,Probation 12 months; community service.,https://www.courtlistener.com/
State v. Minor-0041,United States,Florida,2019,Miami-Dade Juvenile Court,robbery,under 14,13-year-old took snacks from peer at a public park using physical force. First contact with juvenile court.,robbery incident at public park; minor in under 14 age group.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
R v. Minor 0667,United Kingdom,Scotland,2020,Sheriff Court Glasgow,cybercrime,15-17,Juvenile circulated exam answers digitally using personal device. Victim notified school. No prior record.,Juvenile cybercrime case with no prior record in Scotland.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0140,United States,New York,2022,Kings County Family Court,assault,15-17,School altercation: 15-year-old struck another student at a community center. One prior warning only.,Juvenile assault case with limited history in New York.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
In re C-0759 (Child),United Kingdom,England,2024,Youth Court Birmingham,burglary,under 14,13-year-old entered a neighbor's garage without permission and took cosmetics. One prior warning only.,burglary matter involving under 14 juvenile in England.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
In re Child 0341,India,Karnataka,2022,JJ Board Bengaluru,curfew violation,15-17,17-year-old found in public at a retail store after curfew. One prior warning only.,curfew violation matter involving 15-17 juvenile in Karnataka.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
R v. Y-0653 (Youth),United Kingdom,Wales,2021,Youth Court Cardiff,trespass,15-17,15-year-old entered restricted a public park after hours. One prior warning only.,trespass incident at public park; minor in 15-17 age group.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0085,United States,Colorado,2024,Denver Juvenile Court,runaway,15-17,Runaway minor located after three days; Reunification assessment ordered. One prior warning only.,runaway incident at retail store; minor in 15-17 age group.,Anger management; probation 9 months.,https://www.courtlistener.com/
In re J.D.-0122,United States,California,2020,Los Angeles Juvenile Court,runaway,under 14,14-year-old left home and found at a local shop. Reunification assessment ordered. First contact with juvenile court.,runaway matter involving under 14 juvenile in California.,House arrest 30 days; probation.,https://www.courtlistener.com/
X v. State (JJ-0312),India,Rajasthan,2022,JJ Board Jaipur,runaway,15-17,15-year-old left home and found at a recreation center. Family conflict reported. No prior delinquency history.,runaway matter involving 15-17 juvenile in Rajasthan.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
State v. Minor-0132,United States,New York,2020,Kings County Family Court,truancy,15-17,16-year-old chronically absent from a local shop; 22 unexcused days. One prior warning only.,truancy incident at local shop; minor in 15-17 age group.,Probation 12 months; community service.,https://www.courtlistener.com/
In re Child 0515,India,Odisha,2022,JJ Board Bhubaneswar,burglary,15-17,Break-in at a retail store; 17-year-old suspect identified. No prior delinquency history.,Juvenile burglary case with no prior record in Odisha.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
R v. Y-0784 (Youth),United Kingdom,England,2021,Youth Court London,shoplifting,15-17,Minor stole a bicycle from a public park; apprehended by security. First offense.,shoplifting matter involving 15-17 juvenile in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0845 (Youth),United Kingdom,Wales,2024,Youth Court Swansea,drug possession,15-17,Minor discovered carrying inhalants during a community center search. First offense.,Juvenile drug possession case with no prior record in Wales.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
In re C-0693 (Child),United Kingdom,England,2019,Youth Court London,drug possession,15-17,Minor discovered carrying inhalants during a neighbor's garage search. One prior warning only.,drug possession matter involving 15-17 juvenile in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0718 (Youth),United Kingdom,England,2019,Youth Court London,burglary,15-17,Break-in at school; 17-year-old suspect identified. First offense.,Juvenile burglary case with no prior record in England.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0433),India,Uttar Pradesh,2022,JJ Board Lucknow,assault,under 14,School altercation: 14-year-old struck another student at a community center. First contact with juvenile court.,Juvenile assault case with no prior record in Uttar Pradesh.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
X v. State (JJ-0603),India,Maharashtra,2019,Juvenile Justice Board Mumbai,burglary,15-17,16-year-old entered a community center without permission and took cosmetics. One prior warning only.,burglary matter involving 15-17 juvenile in Maharashtra.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
In re Minor 0348,India,Gujarat,2021,JJ Board Ahmedabad,runaway,15-17,17-year-old left home and found at a transit station. Alleged neglect at home. First contact with juvenile court.,Juvenile runaway case with no prior record in Gujarat.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re C-0833 (Child),United Kingdom,Northern Ireland,2023,Youth Court Belfast,shoplifting,15-17,Minor stole sporting goods from school; apprehended by security. One prior warning only.,Juvenile shoplifting case with limited history in Northern Ireland.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
R v. Minor 0898,United Kingdom,England,2019,Youth Court Birmingham,robbery,15-17,17-year-old took clothing from peer at school using implied force. First offense.,robbery incident at school; minor in 15-17 age group.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
R v. Minor 0638,United Kingdom,England,2022,Youth Court London,robbery,under 14,14-year-old took school supplies from peer at a public park using implied force. First offense.,robbery incident at public park; minor in under 14 age group.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0523),India,Delhi,2018,JJ Board Delhi,robbery,15-17,Strong-arm robbery allegation: 17-year-old and a retail store. First offense.,robbery incident at retail store; minor in 15-17 age group.,Community service; probation.,https://services.ecourts.gov.in/
In re C-0787 (Child),United Kingdom,Wales,2024,Youth Court Cardiff,burglary,under 14,Break-in at school; 13-year-old suspect identified. One prior warning only.,burglary matter involving under 14 juvenile in Wales.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re C-0892 (Child),United Kingdom,England,2024,Youth Court Birmingham,truancy,15-17,Habitual truancy petition for 16-year-old failing to attend a community center. First contact with juvenile court.,Juvenile truancy case with no prior record in England.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0142,United States,Massachusetts,2023,Suffolk Juvenile Court,assault,under 14,14-year-old involved in a community center fight causing superficial scratches to peer. No weapon.,assault matter involving under 14 juvenile in Massachusetts.,Youth education program; supervised release.,https://www.courtlistener.com/
In re C-0781 (Child),United Kingdom,England,2024,Youth Court Birmingham,trespass,15-17,Unauthorized entry to a recreation center by 15-year-old. First contact with juvenile court.,trespass matter involving 15-17 juvenile in England.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0306),India,Karnataka,2023,JJ Board Bengaluru,theft,15-17,15-year-old stole snacks from a transit station. First contact with juvenile court.,theft matter involving 15-17 juvenile in Karnataka.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
R v. Y-0834 (Youth),United Kingdom,England,2019,Youth Court Manchester,runaway,under 14,Runaway minor located after two days; Reunification assessment ordered. No prior delinquency history.,runaway incident at recreation center; minor in under 14 age group.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
In re Minor 0453,India,Odisha,2022,JJ Board Bhubaneswar,robbery,15-17,17-year-old took cosmetics from peer at a local shop using verbal intimidation. One prior warning only.,robbery matter involving 15-17 juvenile in Odisha.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
